date,areaType,areaCode,areaName,newCasesBySpecimenDate
15/04/2020,region,E12000009,South West,211
15/04/2020,region,E12000008,South East,714
15/04/2020,region,E12000003,Yorkshire and The Humber,474
15/04/2020,region,E12000006,East of England,295
16/04/2020,region,E12000005,West Midlands,510
16/04/2020,region,E12000001,North East,295
16/04/2020,region,E12000004,East Midlands,267
16/04/2020,region,E12000007,London,576
16/04/2020,region,E12000002,North West,778
16/04/2020,region,E12000009,South West,262
16/04/2020,region,E12000008,South East,656
16/04/2020,region,E12000003,Yorkshire and The Humber,373
16/04/2020,region,E12000006,East of England,337
17/04/2020,region,E12000005,West Midlands,446
17/04/2020,region,E12000001,North East,291
17/04/2020,region,E12000004,East Midlands,257
17/04/2020,region,E12000007,London,579
17/04/2020,region,E12000002,North West,580
17/04/2020,region,E12000009,South West,239
17/04/2020,region,E12000008,South East,706
17/04/2020,region,E12000003,Yorkshire and The Humber,351
17/04/2020,region,E12000006,East of England,365
18/04/2020,region,E12000005,West Midlands,549
18/04/2020,region,E12000001,North East,380
18/04/2020,region,E12000004,East Midlands,195
18/04/2020,region,E12000007,London,401
18/04/2020,region,E12000002,North West,868
18/04/2020,region,E12000009,South West,167
18/04/2020,region,E12000008,South East,519
18/04/2020,region,E12000003,Yorkshire and The Humber,365
18/04/2020,region,E12000006,East of England,330
19/04/2020,region,E12000005,West Midlands,340
19/04/2020,region,E12000001,North East,276
19/04/2020,region,E12000004,East Midlands,247
19/04/2020,region,E12000007,London,395
19/04/2020,region,E12000002,North West,613
19/04/2020,region,E12000009,South West,200
19/04/2020,region,E12000008,South East,415
19/04/2020,region,E12000003,Yorkshire and The Humber,418
19/04/2020,region,E12000006,East of England,317
20/04/2020,region,E12000005,West Midlands,404
20/04/2020,region,E12000001,North East,315
20/04/2020,region,E12000004,East Midlands,187
20/04/2020,region,E12000007,London,434
20/04/2020,region,E12000002,North West,674
20/04/2020,region,E12000009,South West,183
20/04/2020,region,E12000008,South East,490
20/04/2020,region,E12000003,Yorkshire and The Humber,400
20/04/2020,region,E12000006,East of England,362
21/04/2020,region,E12000005,West Midlands,493
21/04/2020,region,E12000001,North East,287
21/04/2020,region,E12000004,East Midlands,221
21/04/2020,region,E12000007,London,466
21/04/2020,region,E12000002,North West,701
21/04/2020,region,E12000009,South West,227
21/04/2020,region,E12000008,South East,633
21/04/2020,region,E12000003,Yorkshire and The Humber,349
21/04/2020,region,E12000006,East of England,407
22/04/2020,region,E12000005,West Midlands,579
22/04/2020,region,E12000001,North East,362
22/04/2020,region,E12000004,East Midlands,334
22/04/2020,region,E12000007,London,401
22/04/2020,region,E12000002,North West,920
22/04/2020,region,E12000009,South West,286
22/04/2020,region,E12000008,South East,694
22/04/2020,region,E12000003,Yorkshire and The Humber,563
22/04/2020,region,E12000006,East of England,522
23/04/2020,region,E12000005,West Midlands,551
23/04/2020,region,E12000001,North East,332
23/04/2020,region,E12000004,East Midlands,270
23/04/2020,region,E12000007,London,521
23/04/2020,region,E12000002,North West,864
23/04/2020,region,E12000009,South West,281
23/04/2020,region,E12000008,South East,680
23/04/2020,region,E12000003,Yorkshire and The Humber,450
23/04/2020,region,E12000006,East of England,475
24/04/2020,region,E12000005,West Midlands,482
24/04/2020,region,E12000001,North East,332
24/04/2020,region,E12000004,East Midlands,298
24/04/2020,region,E12000007,London,377
24/04/2020,region,E12000002,North West,754
24/04/2020,region,E12000009,South West,250
24/04/2020,region,E12000008,South East,657
24/04/2020,region,E12000003,Yorkshire and The Humber,591
24/04/2020,region,E12000006,East of England,422
25/04/2020,region,E12000005,West Midlands,386
25/04/2020,region,E12000001,North East,215
25/04/2020,region,E12000004,East Midlands,245
25/04/2020,region,E12000007,London,333
25/04/2020,region,E12000002,North West,553
25/04/2020,region,E12000009,South West,200
